panel,location,lon,lat,value
a_mda8_o3_peak,grid_23.40_114.00,114.0,23.4,56.441
a_mda8_o3_peak,grid_23.40_114.20,114.2,23.4,64.222
a_mda8_o3_peak,grid_23.40_114.40,114.4,23.4,64.222
a_mda8_o3_peak,grid_23.40_114.60,114.6,23.4,64.605
a_mda8_o3_peak,grid_23.40_114.80,114.8,23.4,64.605
a_mda8_o3_peak,grid_23.40_115.00,115.0,23.4,53.635
a_mda8_o3_peak,grid_23.40_115.20,115.2,23.4,53.635
a_mda8_o3_peak,grid_23.40_115.40,115.4,23.4,54.337
a_mda8_o3_peak,grid_23.40_115.60,115.6,23.4,54.337
a_mda8_o3_peak,grid_23.60_112.00,112.0,23.6,59.311
a_mda8_o3_peak,grid_23.60_112.20,112.2,23.6,68.368
a_mda8_o3_peak,grid_23.60_112.40,112.4,23.6,68.368
a_mda8_o3_peak,grid_23.60_112.60,112.6,23.6,78.189
a_mda8_o3_peak,grid_23.60_112.80,112.8,23.6,78.189
a_mda8_o3_peak,grid_23.60_113.00,113.0,23.6,80.995
a_mda8_o3_peak,grid_23.60_113.20,113.2,23.6,80.995
a_mda8_o3_peak,grid_23.60_113.40,113.4,23.6,62.564
a_mda8_o3_peak,grid_23.60_113.60,113.6,23.6,62.564
a_mda8_o3_peak,grid_23.60_113.80,113.8,23.6,62.564
a_mda8_o3_peak,grid_23.60_114.00,114.0,23.6,56.441
a_mda8_o3_peak,grid_23.60_114.20,114.2,23.6,64.222
a_mda8_o3_peak,grid_23.60_114.40,114.4,23.6,64.222
a_mda8_o3_peak,grid_23.60_114.60,114.6,23.6,64.605
a_mda8_o3_peak,grid_23.60_114.80,114.8,23.6,64.605
a_mda8_o3_peak,grid_23.60_115.00,115.0,23.6,53.635
a_mda8_o3_peak,grid_23.60_115.20,115.2,23.6,53.635
a_mda8_o3_peak,grid_23.60_115.40,115.4,23.6,54.337
a_mda8_o3_peak,grid_23.60_115.60,115.6,23.6,54.337
a_mda8_o3_peak,grid_23.80_112.00,112.0,23.8,58.036
a_mda8_o3_peak,grid_23.80_112.20,112.2,23.8,55.676
a_mda8_o3_peak,grid_23.80_112.40,112.4,23.8,55.676
a_mda8_o3_peak,grid_23.80_112.60,112.6,23.8,60.523
a_mda8_o3_peak,grid_23.80_112.80,112.8,23.8,60.523
a_mda8_o3_peak,grid_23.80_113.00,113.0,23.8,66.645
a_mda8_o3_peak,grid_23.80_113.20,113.2,23.8,66.645
a_mda8_o3_peak,grid_23.80_113.40,113.4,23.8,70.089
a_mda8_o3_peak,grid_23.80_113.60,113.6,23.8,70.089
a_mda8_o3_peak,grid_23.80_113.80,113.8,23.8,70.089
a_mda8_o3_peak,grid_23.80_114.00,114.0,23.8,50.382
a_mda8_o3_peak,grid_23.80_114.20,114.2,23.8,53.954
a_mda8_o3_peak,grid_23.80_114.40,114.4,23.8,53.954
a_mda8_o3_peak,grid_23.80_114.60,114.6,23.8,57.334
a_mda8_o3_peak,grid_23.80_114.80,114.8,23.8,57.334
a_mda8_o3_peak,grid_23.80_115.00,115.0,23.8,63.202
a_mda8_o3_peak,grid_23.80_115.20,115.2,23.8,63.202
a_mda8_o3_peak,grid_23.80_115.40,115.4,23.8,63.138
a_mda8_o3_peak,grid_23.80_115.60,115.6,23.8,63.138
a_mda8_o3_peak,grid_24.00_112.00,112.0,24.0,58.036
a_mda8_o3_peak,grid_24.00_112.20,112.2,24.0,55.676
a_mda8_o3_peak,grid_24.00_112.40,112.4,24.0,55.676
a_mda8_o3_peak,grid_24.00_112.60,112.6,24.0,60.523
a_mda8_o3_peak,grid_24.00_112.80,112.8,24.0,60.523
a_mda8_o3_peak,grid_24.00_113.00,113.0,24.0,66.645
a_mda8_o3_peak,grid_24.00_113.20,113.2,24.0,66.645
a_mda8_o3_peak,grid_24.00_113.40,113.4,24.0,70.089
a_mda8_o3_peak,grid_24.00_113.60,113.6,24.0,70.089
a_mda8_o3_peak,grid_24.00_113.80,113.8,24.0,70.089
a_mda8_o3_peak,grid_24.00_114.00,114.0,24.0,50.382
a_mda8_o3_peak,grid_24.00_114.20,114.2,24.0,53.954
a_mda8_o3_peak,grid_24.00_114.40,114.4,24.0,53.954
a_mda8_o3_peak,grid_24.00_114.60,114.6,24.0,57.334
a_mda8_o3_peak,grid_24.00_114.80,114.8,24.0,57.334
a_mda8_o3_peak,grid_24.00_115.00,115.0,24.0,63.202
a_mda8_o3_peak,grid_24.00_115.20,115.2,24.0,63.202
a_mda8_o3_peak,grid_24.00_115.40,115.4,24.0,63.138
a_mda8_o3_peak,grid_24.00_115.60,115.6,24.0,63.138
b_pm25_episode,grid_21.80_112.00,112.0,21.8,27.392
b_pm25_episode,grid_21.80_112.20,112.2,21.8,21.008
b_pm25_episode,grid_21.80_112.40,112.4,21.8,21.008
b_pm25_episode,grid_21.80_112.60,112.6,21.8,15.575
b_pm25_episode,grid_21.80_112.80,112.8,21.8,15.575
b_pm25_episode,grid_21.80_113.00,113.0,21.8,14.375
b_pm25_episode,grid_21.80_113.20,113.2,21.8,14.375
b_pm25_episode,grid_21.80_113.40,113.4,21.8,13.438
b_pm25_episode,grid_21.80_113.60,113.6,21.8,13.438
b_pm25_episode,grid_21.80_113.80,113.8,21.8,13.438
b_pm25_episode,grid_21.80_114.00,114.0,21.8,13.737
b_pm25_episode,grid_21.80_114.20,114.2,21.8,13.825
b_pm25_episode,grid_21.80_114.40,114.4,21.8,13.825
b_pm25_episode,grid_21.80_114.60,114.6,21.8,16.379
b_pm25_episode,grid_21.80_114.80,114.8,21.8,16.379
b_pm25_episode,grid_21.80_115.00,115.0,21.8,15.008
b_pm25_episode,grid_21.80_115.20,115.2,21.8,15.008
b_pm25_episode,grid_21.80_115.40,115.4,21.8,13.754
b_pm25_episode,grid_21.80_115.60,115.6,21.8,13.754
b_pm25_episode,grid_22.00_112.00,112.0,22.0,27.392
b_pm25_episode,grid_22.00_112.20,112.2,22.0,21.008
b_pm25_episode,grid_22.00_112.40,112.4,22.0,21.008
b_pm25_episode,grid_22.00_112.60,112.6,22.0,15.575
b_pm25_episode,grid_22.00_112.80,112.8,22.0,15.575
b_pm25_episode,grid_22.00_113.00,113.0,22.0,14.375
b_pm25_episode,grid_22.00_113.20,113.2,22.0,14.375
b_pm25_episode,grid_22.00_113.40,113.4,22.0,13.438
b_pm25_episode,grid_22.00_113.60,113.6,22.0,13.438
b_pm25_episode,grid_22.00_113.80,113.8,22.0,13.438
b_pm25_episode,grid_22.00_114.00,114.0,22.0,13.737
b_pm25_episode,grid_22.00_114.20,114.2,22.0,13.825
b_pm25_episode,grid_22.00_114.40,114.4,22.0,13.825
b_pm25_episode,grid_22.00_114.60,114.6,22.0,16.379
b_pm25_episode,grid_22.00_114.80,114.8,22.0,16.379
b_pm25_episode,grid_22.00_115.00,115.0,22.0,15.008
b_pm25_episode,grid_22.00_115.20,115.2,22.0,15.008
b_pm25_episode,grid_22.00_115.40,115.4,22.0,13.754
b_pm25_episode,grid_22.00_115.60,115.6,22.0,13.754
b_pm25_episode,grid_22.20_112.00,112.0,22.2,35.996
b_pm25_episode,grid_22.20_112.20,112.2,22.2,43.312
b_pm25_episode,grid_22.20_112.40,112.4,22.2,43.312
b_pm25_episode,grid_22.20_112.60,112.6,22.2,35.979
b_pm25_episode,grid_22.20_112.80,112.8,22.2,35.979
b_pm25_episode,grid_22.20_113.00,113.0,22.2,27.125
b_pm25_episode,grid_22.20_113.20,113.2,22.2,27.125
b_pm25_episode,grid_22.20_113.40,113.4,22.2,23.246
b_pm25_episode,grid_22.20_113.60,113.6,22.2,23.246
b_pm25_episode,grid_22.20_113.80,113.8,22.2,23.246
b_pm25_episode,grid_22.20_114.00,114.0,22.2,22.246
b_pm25_episode,grid_22.20_114.20,114.2,22.2,15.329
b_pm25_episode,grid_22.20_114.40,114.4,22.2,15.329
b_pm25_episode,grid_22.20_114.60,114.6,22.2,13.7
b_pm25_episode,grid_22.20_114.80,114.8,22.2,13.7
b_pm25_episode,grid_22.20_115.00,115.0,22.2,15.771
b_pm25_episode,grid_22.20_115.20,115.2,22.2,15.771
b_pm25_episode,grid_22.20_115.40,115.4,22.2,14.487
b_pm25_episode,grid_22.20_115.60,115.6,22.2,14.487
b_pm25_episode,grid_22.40_112.00,112.0,22.4,35.996
b_pm25_episode,grid_22.40_112.20,112.2,22.4,43.312
b_pm25_episode,grid_22.40_112.40,112.4,22.4,43.312
b_pm25_episode,grid_22.40_112.60,112.6,22.4,35.979
b_pm25_episode,grid_22.40_112.80,112.8,22.4,35.979
b_pm25_episode,grid_22.40_113.00,113.0,22.4,27.125
b_pm25_episode,grid_22.40_113.20,113.2,22.4,27.125
b_pm25_episode,grid_22.40_113.40,113.4,22.4,23.246
b_pm25_episode,grid_22.40_113.60,113.6,22.4,23.246
b_pm25_episode,grid_22.40_113.80,113.8,22.4,23.246
b_pm25_episode,grid_22.40_114.00,114.0,22.4,22.246
b_pm25_episode,grid_22.40_114.20,114.2,22.4,15.329
b_pm25_episode,grid_22.40_114.40,114.4,22.4,15.329
b_pm25_episode,grid_22.40_114.60,114.6,22.4,13.7
b_pm25_episode,grid_22.40_114.80,114.8,22.4,13.7
b_pm25_episode,grid_22.40_115.00,115.0,22.4,15.771
b_pm25_episode,grid_22.40_115.20,115.2,22.4,15.771
b_pm25_episode,grid_22.40_115.40,115.4,22.4,14.487
b_pm25_episode,grid_22.40_115.60,115.6,22.4,14.487
b_pm25_episode,grid_22.60_112.00,112.0,22.6,39.454
b_pm25_episode,grid_22.60_112.20,112.2,22.6,48.092
b_pm25_episode,grid_22.60_112.40,112.4,22.6,48.092
b_pm25_episode,grid_22.60_112.60,112.6,22.6,54.667
b_pm25_episode,grid_22.60_112.80,112.8,22.6,54.667
b_pm25_episode,grid_22.60_113.00,113.0,22.6,44.696
b_pm25_episode,grid_22.60_113.20,113.2,22.6,44.696
b_pm25_episode,grid_22.60_113.40,113.4,22.6,31.504
b_pm25_episode,grid_22.60_113.60,113.6,22.6,31.504
b_pm25_episode,grid_22.60_113.80,113.8,22.6,31.504
b_pm25_episode,grid_22.60_114.00,114.0,22.6,29.304
b_pm25_episode,grid_22.60_114.20,114.2,22.6,20.446
b_pm25_episode,grid_22.60_114.40,114.4,22.6,20.446
b_pm25_episode,grid_22.60_114.60,114.6,22.6,14.529
b_pm25_episode,grid_22.60_114.80,114.8,22.6,14.529
b_pm25_episode,grid_22.60_115.00,115.0,22.6,13.863
b_pm25_episode,grid_22.60_115.20,115.2,22.6,13.863
b_pm25_episode,grid_22.60_115.40,115.4,22.6,14.917
b_pm25_episode,grid_22.60_115.60,115.6,22.6,14.917
b_pm25_episode,grid_22.80_112.00,112.0,22.8,39.454
b_pm25_episode,grid_22.80_112.20,112.2,22.8,48.092
b_pm25_episode,grid_22.80_112.40,112.4,22.8,48.092
b_pm25_episode,grid_22.80_112.60,112.6,22.8,54.667
b_pm25_episode,grid_22.80_112.80,112.8,22.8,54.667
b_pm25_episode,grid_22.80_113.00,113.0,22.8,44.696
b_pm25_episode,grid_22.80_113.20,113.2,22.8,44.696
b_pm25_episode,grid_22.80_113.40,113.4,22.8,31.504
b_pm25_episode,grid_22.80_113.60,113.6,22.8,31.504
b_pm25_episode,grid_22.80_113.80,113.8,22.8,31.504
b_pm25_episode,grid_22.80_114.00,114.0,22.8,29.304
b_pm25_episode,grid_22.80_114.20,114.2,22.8,20.446
b_pm25_episode,grid_22.80_114.40,114.4,22.8,20.446
b_pm25_episode,grid_22.80_114.60,114.6,22.8,14.529
b_pm25_episode,grid_22.80_114.80,114.8,22.8,14.529
b_pm25_episode,grid_22.80_115.00,115.0,22.8,13.863
b_pm25_episode,grid_22.80_115.20,115.2,22.8,13.863
b_pm25_episode,grid_22.80_115.40,115.4,22.8,14.917
b_pm25_episode,grid_22.80_115.60,115.6,22.8,14.917
b_pm25_episode,grid_23.00_112.00,112.0,23.0,28.133
b_pm25_episode,grid_23.00_112.20,112.2,23.0,35.387
b_pm25_episode,grid_23.00_112.40,112.4,23.0,35.387
b_pm25_episode,grid_23.00_112.60,112.6,23.0,45.438
b_pm25_episode,grid_23.00_112.80,112.8,23.0,45.438
b_pm25_episode,grid_23.00_113.00,113.0,23.0,46.429
b_pm25_episode,grid_23.00_113.20,113.2,23.0,46.429
b_pm25_episode,grid_23.00_113.40,113.4,23.0,30.217
b_pm25_episode,grid_23.00_113.60,113.6,23.0,30.217
b_pm25_episode,grid_23.00_113.80,113.8,23.0,30.217
b_pm25_episode,grid_23.00_114.00,114.0,23.0,19.242
b_pm25_episode,grid_23.00_114.20,114.2,23.0,19.225
b_pm25_episode,grid_23.00_114.40,114.4,23.0,19.225
b_pm25_episode,grid_23.00_114.60,114.6,23.0,15.387
b_pm25_episode,grid_23.00_114.80,114.8,23.0,15.387
b_pm25_episode,grid_23.00_115.00,115.0,23.0,14.488
b_pm25_episode,grid_23.00_115.20,115.2,23.0,14.488
b_pm25_episode,grid_23.00_115.40,115.4,23.0,19.233
b_pm25_episode,grid_23.00_115.60,115.6,23.0,19.233
b_pm25_episode,grid_23.20_112.00,112.0,23.2,28.133
b_pm25_episode,grid_23.20_112.20,112.2,23.2,35.387
b_pm25_episode,grid_23.20_112.40,112.4,23.2,35.387
b_pm25_episode,grid_23.20_112.60,112.6,23.2,45.438
b_pm25_episode,grid_23.20_112.80,112.8,23.2,45.438
b_pm25_episode,grid_23.20_113.00,113.0,23.2,46.429
b_pm25_episode,grid_23.20_113.20,113.2,23.2,46.429
b_pm25_episode,grid_23.20_113.40,113.4,23.2,30.217
b_pm25_episode,grid_23.20_113.60,113.6,23.2,30.217
b_pm25_episode,grid_23.20_113.80,113.8,23.2,30.217
b_pm25_episode,grid_23.20_114.00,114.0,23.2,19.242
b_pm25_episode,grid_23.20_114.20,114.2,23.2,19.225
b_pm25_episode,grid_23.20_114.40,114.4,23.2,19.225
b_pm25_episode,grid_23.20_114.60,114.6,23.2,15.387
b_pm25_episode,grid_23.20_114.80,114.8,23.2,15.387
b_pm25_episode,grid_23.20_115.00,115.0,23.2,14.488
b_pm25_episode,grid_23.20_115.20,115.2,23.2,14.488
b_pm25_episode,grid_23.20_115.40,115.4,23.2,19.233
b_pm25_episode,grid_23.20_115.60,115.6,23.2,19.233
